발생지시도,사망,사망_max,중상,대형,대형사고율,사고건수
강원,219,4,80,28,0.13592233009708737,206
경기,780,3,183,73,0.09746328437917223,749
경남,373,4,72,26,0.07242339832869081,359
경북,495,4,126,42,0.0880503144654088,477
광주,85,1,15,3,0.03529411764705882,85
대구,164,5,42,19,0.12666666666666668,150
대전,99,4,38,5,0.05319148936170213,94
부산,159,4,45,10,0.06535947712418301,153
서울,348,2,45,18,0.05263157894736842,342
세종,25,1,7,1,0.04,25
울산,81,10,13,4,0.05714285714285714,70
인천,144,3,28,13,0.0948905109489051,137
전남,337,3,105,35,0.10703363914373089,327
전북,284,4,75,18,0.06545454545454546,275
제주,80,2,7,3,0.03896103896103896,77
충남,388,3,95,31,0.08333333333333333,372
충북,231,4,62,21,0.09502262443438914,221
